"activity" "subject" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyAccMag-mean()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroJerkMag-mean()"
"1" "1" -2.83740258842105 2.46639913578947 -2.60027902210526 -9.76609642526316 -9.71305961473684 -9.47717226105263 -2.14210124421053 1.61527172421053 -5.02699788526316 -4.73535485894737 -1.99961817157895 -3.44266629473684 -2.35009533157895 -3.11856350105263 -4.04255452631579 -2.36381616842105 -2.36381616842105 -1.75967157263158 -2.59345322947368 -3.46965986631579 -3.19134719578947 1.76981458421053 -2.89007473789474 -2.01038251789474 2.48108923052632 -5.34713440421053 -5.16691938736842 -1.28931142842105 -4.36562227473684 -3.98032586842105 -2.33978195052632 -3.21017953894737 -3.81601911789474 2.77330758736842 -1.77610914315789 -3.26482875368421 9.35223201473684 -2.82165021263158 -2.94566218526316 0.439348565263158 0.619466261052632 -0.0651892821052631 -2.3482523 -1.06293194210526 3.41667633894737 -1.27875085157895 -0.665812730526316 -0.581851429473684 -3.44539091894737 -3.44539091894737 -2.79237875578947 -2.63522067263158 -3.06457901263158 -2.49267423578947 1.36955244105263 -3.31560117789474 -2.35034310736842 -0.832599521052632 -4.68999224631579 -3.47811627578947 -2.23030072421053 -2.71552674736842 -2.61001092 -1.62633066842105 -2.89286660105263 -3.28744232526316
"2" "1" -3.5470802509434 -0.412479267924528 -0.773575354716981 -9.56367027924528 -9.52849233207547 -9.12379410377359 -4.46843887735849 -3.78274426037736 -7.06593530943396 -5.44871104528302 0.714587154716981 -5.0716867490566 -6.14786508490566 -6.01696656226415 -6.06332002264151 -3.24970929245283 -3.24970929245283 -4.78991622075472 -1.40856370566038 -6.48553044339623 -3.37428188679245 0.845144375471698 3.47129394528302 -4.61907025849057 -3.81777065283019 -7.26040200754717 -5.65892490754717 1.99297810566038 -5.7170784 -4.16260101509434 -5.33059853773585 -1.89903172641509 -6.93930521509434 2.55461689622642 -2.32790603207547 -3.52094372830189 8.9335109754717 -3.62153364339623 -5.75710071132075 1.81303072264151 0.492112650943396 -0.221803909433962 0.629953450943396 -1.44871441509434 1.21045341132075 -1.88107617735849 -2.20684167358491 -0.745696305660377 -2.98324404339623 -2.98324404339623 -4.66503446226415 -1.69405483584906 -5.9488286509434 -4.04321784150943 -2.65754435471698 -4.33349702075472 -4.79875245660377 -4.1344458754717 -6.85474353962264 -4.92611667924528 -3.19474609056604 -4.53597213018868 -3.52395944716981 -4.4265216245283 -3.4236664754717 -6.34665082075472
"3" "1" 0.907110824489796 0.145479363265306 -2.27582536938776 -9.50559811632653 -9.37018658979592 -8.95939695102041 0.396232255102041 -1.92741743061224 -3.55369749795918 -4.86485652653061 -1.72696350204082 -3.60575136938776 -4.87027342244898 -3.19410897142857 -2.86753391428571 -0.0305981632653062 -0.0305981632653062 -1.2843905877551 -2.56201133265306 -3.04596994081633 1.3707250122449 -1.26797510408163 -2.97927894693878 -2.1912627 -2.54092692244898 -4.01721464285714 -5.27880152040816 -2.91286531428571 -2.52076109591837 -2.2273182 -2.34574303673469 -4.06869616734694 -4.22277042653061 2.89188320408163 -1.99415457959184 -3.27292284489796 9.31874418979592 -2.66610338979592 -4.47126091632653 0.977688495918367 -0.026843793877551 0.192373467346939 -0.762534210204082 -1.46783192857143 2.46189871020408 -1.19350684897959 0.131464928571429 -0.0893206897959183 0.895997414285714 0.895997414285714 -2.03411657755102 -2.09923663877551 -3.01608533469388 0.973454330612245 -0.160791581632653 -2.51151513469388 -1.34057199183673 -1.85118866530612 -2.87971545306122 -3.22177535306122 -1.16690561632653 -1.09201041836735 1.91782546734694 -0.175502153061225 -1.9162696122449 -3.20687293061224
"4" "1" -9.77229008297872 -9.22618641914894 -9.3958629106383 -9.68457145744681 -9.35517055957447 -9.49040933191489 -9.86430711276596 -9.81371965319149 -9.87910804468085 -9.58062347021277 -9.66473895319149 -9.41425920851064 -9.91731592127659 -9.89518068510638 -9.87935806382979 -9.27078418723404 -9.27078418723404 -9.84120024042553 -9.34531840425532 -9.88308728510638 -9.76412313191489 -9.17275006382979 -9.34469558085106 -9.87492994468085 -9.82513909574468 -9.88339184893617 -9.58755290851064 -9.62345042553192 -9.4391784106383 -9.28444801702128 -9.81606177446809 -9.32198374893617 -9.87049617234043 2.55914614042553 -1.46093349787234 -1.15408089148936 8.31509933404255 2.62768587659574 3.32043702765957 6.91633745531915 2.53623796808511 -0.599997123404255 -3.29047948723404 -5.43753675319149 3.91630925744681 -7.59659181276596 -4.02118124255319 -3.96657870425532 -9.48536786170213 -9.48536786170213 -9.87364195531915 -9.3089249 -9.91976341276596 -9.79641238723404 -9.44084550425532 -9.59184889148936 -9.86597022553192 -9.81579467021277 -9.86053092340426 -9.5701252787234 -9.75838585319149 -9.51315544468085 -9.47782922553191 -9.85262126808511 -9.58435589361702 -9.89797547234043
"5" "1" -9.95759901509434 -9.73190056415094 -9.79775876981132 -9.9376298509434 -9.81225957924528 -9.76324063584906 -9.94604542264151 -9.8564873245283 -9.92251177358491 -9.87191946603774 -9.8773444 -9.80645626981132 -9.92945106981132 -9.95137917358491 -9.92108467169811 -9.81942928867925 -9.81942928867925 -9.93096209433962 -9.78690028679245 -9.94733238679245 -9.9602834509434 -9.72293102075472 -9.6095612754717 -9.95073759245283 -9.87018226792453 -9.92349818113208 -9.87497128679245 -9.87107727735849 -9.8234533 -9.82313804716981 -9.92536003396226 -9.78466072075472 -9.94671123207547 2.78917629056604 -2.0046361 -1.62967680943396 9.42952000377358 -2.72983832264151 0.431761269811321 7.53766542264151 2.90978470943396 -1.2765823754717 -2.48215812641509 -5.88214694150943 6.13540425471698 -6.69268971698113 -4.40627877924528 -4.70062102075472 -9.8427820735849 -9.8427820735849 -9.92367790566038 -9.76493792830189 -9.94966790566038 -9.95249932641509 -9.77070847735849 -9.85297098679245 -9.94630797358491 -9.85418704528302 -9.90752166037736 -9.86386786037736 -9.88984455849057 -9.80773122830189 -9.85356361132076 -9.9254247754717 -9.84617623396226 -9.94815376981132
"6" "1" -9.280564692 -8.188377666 -8.225334224 -8.968300184 -8.95217246 -8.449564122 -9.58482112 -9.241492736 -9.548551108 -8.881768654 -9.510904402 -9.082846626 -9.186085208 -9.679072436 -9.577901596 -7.965845566 -7.965845566 -9.282456284 -8.165685342 -9.358409828 -9.244374346 -8.560260764 -8.04905084 -9.641607086 -9.322178704 -9.605869872 -8.822964508 -9.512320494 -9.165825082 -7.823609324 -9.218039756 -8.303243502 -9.326606676 1.98106483 -1.94925901 -1.348510122 -3.6211781 6.609013806 4.458177198 5.814996724 1.551783734 0.168125428 -1.12207196 -5.250133842 4.805742306 -5.219144142 -3.411398814 -4.917973782 -8.582109184 -8.582109184 -9.543962646 -8.74759548 -9.6346103 -9.390990524 -8.618400462 -8.826668762 -9.570738838 -9.224626098 -9.480609042 -8.547608516 -9.521914948 -9.09302721 -8.78295474 -9.333003608 -8.621901854 -9.423669466
"1" "2" -4.23642838474576 -2.68136366779661 -4.25257524915254 -9.72693201355932 -9.72116879661017 -9.72072847627119 -2.78116722711864 -0.782091123728814 -5.86090418983051 -5.61550255762712 -5.3845366779661 -4.81085535084746 -3.89549831525424 -6.34140436101695 -4.35492677288136 -4.22544169322034 -4.22544169322034 -2.44035588813559 -5.53019916271186 -5.57798151355932 -4.57651383728814 -2.54577034067797 -4.55222146440678 -3.30935343559322 -0.427239705084746 -6.15898188474576 -6.04053019152542 -5.33046952542373 -5.59856635084746 -5.77105211694915 -2.02462296779661 -6.51792839661017 -5.58104554745763 2.76426586440678 -2.25158471864407 -3.48720708474576 9.13017333389831 -3.4660709 1.95704247457627 0.547168069491525 0.279497723728814 0.111464369491525 -1.744295 -3.5496347 4.81866191355932 -1.34849534576271 -1.05267997966102 -0.938604574576271 -2.90407593728814 -2.90407593728814 -3.15294370847458 -4.46549092881356 -5.47911950338983 -3.46048161016949 -1.47708441864407 -4.53806369830509 -3.28505472033898 -0.650542427118644 -5.54956709661017 -4.29713536101695 -5.5477211220339 -3.96659907457627 -3.36510344576271 -2.26868014576271 -5.30704814745763 -5.8324929338983
"2" "2" -3.04376406458333 3.71475469583333 -1.07810567708333 -9.34407739791667 -9.2376745375 -8.78004056875 -3.14032612916667 -1.63078553333333 -5.737463525 -4.39253058958333 -4.66298336666667 -2.12906097916667 -4.64854363125 -6.45491337708333 -4.67595961041667 -2.40756012708333 -2.40756012708333 -3.1115940625 -3.92303229166667 -5.97291719166667 -3.20582414375 2.88806289583333 -0.75251055 -3.65415441458333 -2.41467491041667 -6.25090981458333 -4.76358845625 -4.59758488958333 -2.33592696041667 -3.6672824375 -3.5074777 -4.3697337375 -6.21820202916667 2.75643370208333 -1.60447944583333 -3.24372258958333 7.90717418541667 -4.16214890416667 -0.629264135416667 1.90503465416667 -0.658832920833333 1.564600075 0.240112585416667 -0.466088314583333 1.75777652916667 -0.808104170833333 -1.97088137708333 0.18616450625 -3.28696680208333 -3.28696680208333 -3.21268911041667 -3.21401820208333 -5.72816438541667 -2.99618897083333 -0.952671633333333 -2.88622892708333 -3.14664922916667 -1.7586557375 -5.22728063333333 -3.64957868333333 -4.88086123958333 -3.60626136875 -2.9633737 -2.21474703333333 -4.50612184791667 -6.0079849625
"3" "2" 0.652830972340426 2.97759869574468 -0.90371469787234 -9.40361759574468 -9.40068525531915 -9.31438313191489 1.62487704680851 1.26555147234043 -3.40122023191489 -3.38535666382979 -4.15739144893617 -2.98547439574468 -1.93926575744681 -4.83939407021277 -2.1993587787234 2.69518007234043 2.69518007234043 2.6723118787234 -3.26533664042553 -4.4110268106383 -0.00531827021276599 2.41948570638298 -1.61963509361702 0.934642857446809 0.747654072340426 -4.08227423191489 -4.13771738510638 -4.58732747446809 -4.22987665106383 -0.616817431914894 3.42985607446809 -3.67804344893617 -4.3752446893617 2.91217850212766 -2.39623639787234 -2.56329456808511 8.61831345531915 -3.25780100638298 0.625282412765957 1.76812557021277 -0.920348182978723 -0.0801503595744681 -2.1201791893617 -0.187585321276596 2.26831067021277 -1.37651587446808 -0.895265729787234 -0.873132887234043 1.84666702553191 1.84666702553191 0.125762844680851 -2.88524768723404 -4.10872671489362 1.65721695957447 3.44738432978723 -1.47790597234043 1.68541286595745 1.43436636595745 -3.66917234680851 -2.43196487659574 -3.8979687106383 -1.71884717234043 3.71151564468085 2.77401353404255 -3.48619999574468 -4.20604571276596
"4" "2" -9.86822279565217 -9.50704499130435 -9.5982817173913 -9.79988760869565 -9.56750273043478 -9.54415873043478 -9.88055854130435 -9.77983955434783 -9.8751821173913 -9.85742027826087 -9.78919526956522 -9.59803708695652 -9.89709023043478 -9.90889614782609 -9.85542325652174 -9.53081444130435 -9.53081444130435 -9.84475868043478 -9.61313624130435 -9.89594919565217 -9.8736209 -9.50073754130435 -9.56862864130435 -9.89459107391304 -9.80804228478261 -9.88570804130435 -9.86808501521739 -9.77356188695652 -9.63522659782609 -9.55575602173913 -9.84124185869565 -9.61385745217391 -9.89632908913043 2.7708735173913 -1.9601394173913 -3.65057817826087 9.40477273043478 -1.21512894782609 2.90577967608696 7.22564387173913 2.78558943695652 -0.450096186956522 -2.80246883478261 -5.5284396673913 4.39519135652174 -6.96945665434783 -4.15602029130435 -3.90577065 -9.67893623913043 -9.67893623913043 -9.86774713043478 -9.46035087173913 -9.91081493913043 -9.85803840652174 -9.57343498478261 -9.70162172608696 -9.87848793695652 -9.77139702826087 -9.85129050217391 -9.82621389565217 -9.82100923695652 -9.59814822391304 -9.6127374826087 -9.83874698913043 -9.71840596086957 -9.89861950869565
